,Date,Team,Name,DL_length,team_id,player_id
5812,20070809, Rockies,Rodrigo Lopez,60,COL,loper001
5814,20070810, Braves,Octavio Dotel,15,ATL,doteo001
5816,20070810, Marlins,Josh Johnson (Michael),60,MIA,
5818,20070810, Padres,Scott Hairston,15,SDN,hairs001
5820,20070811, Padres,Michael Barrett (Patrick),15,SDN,
5821,20070811, Rockies,Jeff Baker (Glen),15,COL,
5822,20070812, Blue Jays,Brandon League,15,TOR,leagb001
5824,20070812, Cardinals,Adam Kennedy,15,SLN,kenna001
5826,20070812, Mets,Paul Lo Duca,15,NYN,lodup001
5827,20070812, Rockies,Sean Barker,60,COL,barks001
5829,20070813, Cardinals,Chris Carpenter (John) (b. 1975-04-27),60,SLN,
5830,20070813, Dodgers,Jason Schmidt,60,LAN,schmj001
5831,20070813, Orioles,Jay Gibbons,15,BAL,gibbj002
5832,20070813, Reds,David Ross (Wade),15,CIN,
5833,20070814, Cubs,Henry Blanco,60,CHN,blanh001
5834,20070814, Dodgers,Nomar Garciaparra,15,LAN,garcn001
5835,20070814, Phillies,Adam Eaton (Thomas),15,PHI,
5836,20070814, Pirates,Ryan Doumit,15,PIT,doumr001
5837,20070814, Pirates,Zach Duke,60,PIT,dukez001
5840,20070815, Diamondbacks,Chad Tracy (Austin),15,ARI,
5841,20070815, Giants,Randy Messenger,15,SFN,messr001
5842,20070815, Rangers,Brandon McCarthy,15,TEX,mccab001
5844,20070815, Reds,Juan Castro,60,CIN,castj004
5846,20070815, Rockies,Willy Taveras,15,COL,tavew001
5848,20070816, Rockies,Aaron Cook (Lane),15,COL,
5849,20070817, Astros,Stephen Randolph,15,HOU,
5850,20070817, Athletics,Mark Kotsay,15,OAK,kotsm001
5852,20070817, Red Sox,Brendan Donnelly,60,BOS,donnb001
5853,20070817, Red Sox,Doug Mirabelli,15,BOS,mirad001
5854,20070817, Reds,Eric Milton,60,CIN,milte001
5855,20070818, Mets,Carlos Gomez (Argelis),60,NYN,
5856,20070818, Mets,Ramon Castro (Abraham),15,NYN,
5858,20070818, Rangers,Willie Eyre,15,TEX,eyrew001
5861,20070819, Cubs,Cliff Floyd,0,CHN,floyc001
5862,20070819, Devil Rays,Ben Zobrist,15,TBA,zobrb001
5863,20070819, Mets,Damion Easley,15,NYN,easld001
5864,20070819, Phillies,Mike Zagurski,15,PHI,zagum001
5865,20070820, Angels,Erick Aybar,15,ANA,aybae001
5867,20070820, Athletics,Travis Buck,15,OAK,buckt001
5870,20070821, Astros,Jason Jennings,15,HOU,jennj001
5872,20070821, Braves,Chuck James,15,ATL,jamec002
5875,20070821, Giants,Russ Ortiz,15,SFN,ortir001
5876,20070821, Mets,Pedro Martinez (Jaime),60,NYN,
5877,20070821, Phillies,Yoel Hernandez,15,PHI,herny001
5880,20070822, Athletics,Donnie Murphy,15,OAK,murpd004
5881,20070822, Athletics,Rich Harden,60,OAK,hardr001
5884,20070822, Phillies,Cole Hamels,15,PHI,hamec001
5885,20070822, Royals,Odalis Perez,15,KCA,pereo001
5887,20070823, Braves,Edgar Renteria,15,ATL,rente001
5889,20070823, Twins,Tommy Watkins,15,MIN,watkt001
5891,20070824, Reds,Bobby Livingston,15,CIN,livib001
5892,20070824, Royals,Mark Teahen,15,KCA,teahm001
5893,20070824, Yankees,Ron Villone,15,NYA,villr001
5894,20070824, Royals,Mike Sweeney,60,KCA,sweem002
5896,20070825, Padres,Marcus Giles,15,SDN,gilem001
5897,20070825, Pirates,Salomon Torres,15,PIT,torrs001
5899,20070826, Tigers,Jair Jurrjens,15,DET,jurrj001
5900,20070826, Twins,Dennys Reyes,15,MIN,reyed001
5902,20070827, Giants,Russ Ortiz,60,SFN,ortir001
5903,20070827, Giants,Vinnie Chulk,15,SFN,chulv001
5905,20070827, Tigers,Gary Sheffield,15,DET,shefg001
5906,20070828, Brewers,Claudio Vargas,15,MIL,vargc001
5912,20070829, Dodgers,Jason Repko,60,LAN,repkj001
5913,20070829, Rangers,Travis Metcalf,15,TEX,metct001
5917,20070831, Brewers,Manuel Parra,15,MIL,
5918,20070831, Cardinals,Scott Rolen,15,SLN,roles001
5920,20070831, Padres,Oscar Robles,15,SDN,roblo001
5921,20070831, Padres,Ryan Ketchner,15,SDN,
5922,20070831, Royals,John Thomson,60,KCA,thomj005
5923,20070831, Royals,Ryan Shealy,60,KCA,shear001
5925,20070831, Indians,Brad Snyder,15,CLE,snydb002
5926,20070901, Angels,Chris Resop,60,ANA,resoc001
5928,20070901, Athletics,Eric Chavez,60,OAK,chave001
5930,20070901, Brewers,Corey Koskie,60,MIL,koskc001
5934,20070901, Dodgers,Chin-Hui Tsao,60,LAN,
5935,20070901, Dodgers,Randy Wolf,60,LAN,wolfr001
5936,20070901, Dodgers,Yhency Brazoban,60,LAN,brazy001
5939,20070901, Phillies,Mike Zagurski,60,PHI,zagum001
5942,20070901, Pirates,Chris Duffy,60,PIT,duffc001
5944,20070901, Red Sox,Brendan Donnelly,60,BOS,donnb001
5956,20070903, Marlins,Henry Owens (Jay),60,MIA,
5958,20070903, Nationals,Jason Simontacchi,60,WAS,simoj001
5959,20070903, Nationals,John Patterson (Hollis),60,WAS,
5962,20070904, Astros,Jason Jennings,60,HOU,jennj001
5963,20070904, Blue Jays,Gustavo Chacin,60,TOR,chacg001
5965,20070904, Brewers,Tony Graffanino,60,MIL,graft001
5966,20070904, Cardinals,Juan Encarnacion,60,SLN,encaj001
